dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_random_5,0.6616607186279823,0.0,0.4722768177553821,0.5223457717575536,8396
kermut_fold_random_5,0.6612112245950965,0.0,0.5750858189056816,0.5774534397294726,6769
kermut_fold_modulo_5,0.6609895893405919,2.6205267338658893e-42,0.6646058238459543,0.5755808257337424,326
kermut_fold_random_5,0.660209969938081,5.680322053403109e-240,0.32148563006115144,0.3978657497028004,1914
kermut_fold_modulo_5,0.6600406181431879,0.0,0.5478439287036754,0.5814065703965009,16853
kermut_fold_modulo_5,0.6599970877915435,6.2315419227802646e-161,0.563469719500996,0.5910344490010155,1280
kermut_fold_random_5,0.6596402233066964,2.1663677859964635e-225,0.6107941828881266,0.6023003261366852,1801
kermut_fold_random_5,0.6581922694770277,0.0,0.5134864928119132,0.5567727034711365,12003
kermut_fold_modulo_5,0.6577826272632413,0.0,0.5927731473673284,0.6025301997072823,3344
kermut_fold_random_5,0.6577502103696948,0.0,0.3721839773228137,0.4454835381651687,13294
kermut_fold_modulo_5,0.6560830477521957,3.81844233718477e-99,0.5766884178097189,0.5847074061007538,796
kermut_fold_random_5,0.6546759779035723,0.0,0.4069940634544368,0.4767982632002232,6917
kermut_fold_random_5,0.6543731702145645,0.0,0.575022782006853,0.5943280200527061,9462
kermut_fold_modulo_5,0.6499121267624275,0.0,0.5579384993624823,0.5656276572706269,3066
kermut_fold_modulo_5,0.6495613023545035,0.0,0.64582601850037,0.5790867904293905,8570
kermut_fold_modulo_5,0.6493395261659003,5.5607734181644596e-160,0.4493566143458282,0.47319830610470276,1329
kermut_fold_random_5,0.648968118342829,0.0,0.5584569989253335,0.5767472964908097,10972
kermut_fold_random_5,0.6475582917915956,0.0,0.3711747070780651,0.4518995370853595,7260
kermut_fold_modulo_5,0.6475007392481065,0.0,0.5850217778604438,0.5749383206470186,3344
kermut_fold_modulo_5,0.6474161525997444,1.1531999160241124e-140,0.5851826948373988,0.588901633170068,1176
kermut_fold_modulo_5,0.6474013014734828,0.0,0.5566004992237783,0.5898899561195773,5725
kermut_fold_random_5,0.6458983298416328,1.1616875936426032e-67,0.4646507462910565,0.5267077923356583,562
kermut_fold_modulo_5,0.6395498751539233,0.0,0.5710142662612955,0.5551341282828026,4007
kermut_fold_modulo_5,0.6389568437603251,0.0,0.5287447118813358,0.5482007828839366,5393
kermut_fold_random_5,0.6365450456553444,6.655921035472735e-270,0.5962173721448757,0.5050748471247936,2374
kermut_fold_random_5,0.6339215604574586,0.0,0.4821969587473923,0.5217490942258283,3761
kermut_fold_modulo_5,0.6337704283050469,9.042770435683382e-178,0.6198597745182776,0.5595519544861041,1576
kermut_fold_modulo_5,0.6312994804438259,0.0,0.5003936858910223,0.5457511984802002,12464
kermut_fold_modulo_5,0.6285092706923001,0.0,0.6043197379891433,0.6179781940721573,12729
kermut_fold_random_5,0.6262455299266435,0.0,0.5014649359319622,0.5282839628717639,3648
kermut_fold_modulo_5,0.6244258673777564,1.2861789421615834e-76,0.5201082598395395,0.5514916940794835,697
kermut_fold_modulo_5,0.6221081556390065,0.0,0.625724903607038,0.6203988862326986,12577
kermut_fold_modulo_5,0.6219579757000216,3.503227443247441e-81,0.6800204818274337,0.6064406624984336,747
kermut_fold_modulo_5,0.6197422111740822,2.3214570593616635e-195,0.5465361848328428,0.5490814100133914,1837
